City,Country,AirQuality,AirQuality_2001,AirQuality_2002,AirQuality_2003,AirQuality_2004,AirQuality_2005,AirQuality_2006,AirQuality_2007,AirQuality_2008,AirQuality_2009,AirQuality_2010,AirQuality_2011,AirQuality_2012,AirQuality_2013,AirQuality_2014,AirQuality_2015,AirQuality_2017,AirQuality_2018,AirQuality_2019,AirQuality_2020,AirQuality_2021,AirQuality_2022,AirQuality_2023
Kabul, Afghanistan,10.944704100029362,19.15985712158843,18.684982564044155,18.61608012209496,18.52343078823329,18.75188253940061,18.005394818605627,18.078974845018266,17.14455991739193,15.933410131947134,15.909697278124858,14.999600610949033,14.836201018617942,14.345139448143664,15.83912470473376,17.39097130012819,16.021104461762366,14.29785503888061,14.895784750511508,15.339338377738049,14.206494779274584,12.680635769343857,11.16359818202995
Herat, Afghanistan,24.395041399410033,44.42908212640117,42.43347726669129,41.92830121004989,37.91348667279221,40.78069854156484,39.28018224776586,36.67632120373532,32.83300111643452,33.494642686714855,30.639442053196856,29.826057059131827,27.27860060705829,25.02969286277672,25.74086235676908,26.49792305670193,27.82580451881457,27.309410988401915,23.944852527908537,25.434929390833336,23.935225348272606,25.02308454803261,24.882942227398235
Kandahar, Afghanistan,64.3240743045283,62.88681805713363,56.57337226920944,56.22806786438586,59.37922391810298,61.14831137894341,64.15763774151505,66.55404940939714,72.78950979956467,71.04367547898525,71.0190514414604,65.1936306890942,64.02812113442852,65.27165636851443,66.4319046132321,69.97761031625657,68.54317722755611,67.55483701445506,68.65535030429635,63.572861713089786,61.80500186459762,65.39389986954421,65.61055579061886
Mazar-i-Sharif, Afghanistan,10.108597561396913,12.435434456401165,12.997040804005804,13.315474710938709,13.672301482919918,14.08716328133162,14.319783058092998,13.211215827885386,12.9679235584687,11.659835753891093,10.468162610602928,10.602097512809417,11.073167221038982,12.315165540290517,13.350927529990969,11.642441048490966,10.26806929734198,10.975743141446053,10.265418355548372,9.82269311212096,10.216099499634003,10.235825797813792,10.310769512624852
Farah, Afghanistan,55.16194039798306,78.234116351605,74.83443150031329,71.43235865569453,69.57338247085116,71.14538360019283,75.30984248913178,80.00899434943214,83.65859795067063,82.16540363824771,80.71943236508568,75.56862689442866,74.40891651403112,73.45446566080098,71.76342744888514,70.50241823536548,61.45021681086535,55.63537094765127,57.34238468565171,56.49075104132392,59.44335899677748,60.57793443291072,56.26517920594272
Andkhoy, Afghanistan,35.86540857849077,44.09533424792788,42.65440103502778,45.07421747215552,44.45184767948345,43.04680977506346,39.58906133219877,43.30505760944021,41.18789785849595,40.90327745086163,45.01901727688486,48.34262168669511,46.938378636771255,45.56141252131236,48.271742693405855,47.60157431687757,46.49705930835839,46.50902999560808,45.26383196130584,44.66172713810995,41.88717356249487,41.39661393382488,36.58271675006059
Tirana, Albania,18.08207232817314,18.33163617480896,17.603724965324073,19.154263147364645,16.558336491665436,16.778598651364874,15.236670877231433,16.594850169713606,15.192970835225752,14.578009574529007,15.35972539122156,14.098405857365131,12.93628195844995,12.761744466592166,13.361042106066831,12.852149717363686,12.532694384122063,14.061037321310591,15.81084640568691,15.13652047715926,17.07432425454001,17.066459980914235,18.443713774736604
Kavaje, Albania,41.89688054924049,86.52684310397031,91.01991911755228,87.64885349839733,81.52178531237989,78.3184340284607,75.45932171575703,65.7148350248602,70.75487436797025,63.46060769363175,61.42211059492632,64.27888615236034,64.12333818993196,64.92727590910704,61.6324264746286,60.25465531296538,59.94867685969902,58.578985179825054,57.80855592154232,54.81138192941218,50.99173989530938,47.318650193512056,42.7348181602253
Durres, Albania,35.82358233409721,41.59599333160848,38.914236875080384,36.34735354625721,31.63431055011445,33.83306596259542,32.83998110523841,31.904487172366547,31.37953386831456,32.463961245578936,31.725101712536787,31.37621599324786,32.58463342346433,31.49695541837044,30.31837896145224,30.174199972546912,30.41786019397868,33.076946553824165,33.3704581159954,34.27124553487052,35.49852872550672,32.138129250980235,36.540053980779156
Elbasan, Albania,64.96746197841408,55.76830132644453,57.7212789325366,56.29649517913765,59.60325961432313,62.73030627186066,62.55002288851136,70.37547496715898,64.69805754528801,62.61531196053462,56.70882809891108,57.6500927334691,54.16124352840446,54.9887691183446,59.88675294692519,61.96513757029231,71.1522457906617,66.20476424088714,69.92571734073863,64.80270360709463,73.36037523690598,72.95551631734371,66.26681121798237
