City,Country,WaterPollution,WaterPollution_2001,WaterPollution_2002,WaterPollution_2003,WaterPollution_2004,WaterPollution_2005,WaterPollution_2006,WaterPollution_2007,WaterPollution_2008,WaterPollution_2009,WaterPollution_2010,WaterPollution_2011,WaterPollution_2012,WaterPollution_2013,WaterPollution_2014,WaterPollution_2015,WaterPollution_2017,WaterPollution_2018,WaterPollution_2019,WaterPollution_2020,WaterPollution_2021,WaterPollution_2022,WaterPollution_2023
Kabul, Afghanistan,58.46095080398352,77.51797102342027,71.63809734334585,62.18623448738853,56.162359778086255,60.508456013787935,63.4458152006615,68.89502443643269,62.576856852763406,66.40492433441106,67.6393170659702,69.80358679936371,63.91762390376738,66.38050398852735,69.56703058357044,61.62610882710568,59.52973438494197,53.45791194510344,56.41904659093806,60.38404259408961,60.86739614171419,61.16525700187618,59.630169820063195
Herat, Afghanistan,42.33026677124118,32.423848870304255,29.37419177366909,31.09405755552065,34.87189258343235,35.15303496975203,34.45430507256163,32.41199246969505,32.687641610400064,30.159557884988867,30.62946984718682,29.849239454336765,29.70116339851803,30.93254639366505,30.906848409042134,32.59328268384297,33.628890833168995,35.750133995475,36.49715564088728,38.41585257811473,39.60860916308449,39.43237384890661,43.176872106666
Kandahar, Afghanistan,37.42457717415417,76.92102053424946,76.63612254369258,74.74194993842156,74.4319748678075,70.09700427193967,67.10148375447454,65.30403037947438,63.571348581833966,61.45864726965908,60.35588523097939,52.48621938570915,50.54245466594423,50.7721687901064,47.19251171914268,46.666549092362494,46.37499060067485,43.25663593888889,41.16687755826244,42.40477065722025,42.1122237568021,40.3449599702499,38.17306871763726
Mazar-i-Sharif, Afghanistan,72.45715426524137,80.34612595505737,87.20016040848718,89.96687146749177,87.12812079528771,81.06706313860371,79.22887394009875,79.66370209086494,78.61294372504196,79.67618569336268,80.54814057541142,69.46739743892168,76.67979520979162,80.29861406183988,78.7897087523403,73.2108651953112,72.82924818463219,81.41965863459289,84.8444562715541,83.66789043913232,77.97072929455851,67.4588702240522,73.9062973505462
Farah, Afghanistan,44.09207554360855,54.2685903726897,46.72428400206493,52.39915528171111,51.57682066192713,47.18154921028248,41.57644835693104,40.6264151000615,41.60777983115064,39.977136100660495,42.71150950876492,42.69877362319574,44.9154969356035,46.257786192323714,47.827947583886335,50.13264466855277,51.665430662445154,50.05135392414415,50.65224060502807,47.7636799772159,47.0621257019056,42.25672495747765,44.97391705448072
Andkhoy, Afghanistan,42.965354812846016,54.01168275368239,51.37103711107756,50.44979372100283,57.16107428026127,57.69245782959503,54.09061942395095,56.70837566427793,61.406542244972485,57.13596832565771,53.97662279330594,46.1347169548141,47.070069132201255,41.47361785347868,41.06371888011435,46.55498235387032,46.36756161334325,46.372823459809766,49.067283554830674,48.589406222485096,46.56331702944993,44.74032047384439,43.824661909102936
Tirana, Albania,43.89473696486484,73.26216987011647,74.1272351702113,69.14417084440711,67.97546274282557,63.34218405427915,63.85485790077739,60.53079135745815,60.19210423371668,56.124893588978935,56.279681775535686,60.607572415329976,57.94125898355406,53.928491181343546,50.26073156300008,52.55813917784757,49.824709312670834,55.9583791677476,55.08453684377794,53.48059155248167,51.11607815943356,46.900421632129046,44.77263170416214
Kavaje, Albania,52.024508142835856,66.96350587075861,63.18612101567568,67.41894855390446,60.48830427819502,56.41639979869957,53.2944566379593,57.08387398508909,52.72566769394052,53.62901227514734,57.480475092224125,58.174778764925854,55.27089331508485,60.027951239348965,58.58990850353127,58.54872428300936,55.7340081453675,49.76120122302311,52.27276648214077,48.50821967657088,52.94111728146196,53.517772719057874,53.064998305692576
Durres, Albania,76.11404584299642,57.73542699899561,54.24791378596817,57.58855293948954,61.25530897790075,57.61301447426269,57.27410824102562,56.85412231665508,60.812052699295904,63.95304667477154,60.94012344678829,62.50166024457605,63.27354069045968,68.6790110424209,64.44114196592216,63.8091415059359,63.94589052932116,67.11676650858368,65.40106076893964,72.50465903100321,77.04888829198873,73.15754088495247,77.63632675985635
Elbasan, Albania,21.465632655530438,25.63943401229884,22.66289918529273,22.026084989328645,23.22387993424669,20.072354288462417,20.2150509236525,21.17146857716144,20.132787351819704,20.671745625062268,21.906427707547188,23.258964986496043,21.08165208030616,22.31130336084147,22.88471333019673,23.40436142935864,20.94439003134268,20.65145365341066,22.458311155733703,21.572922854129267,18.82383397722814,20.685895272383057,21.89494530864105
